text,label
"Buy now! Limited time offer! Click here to get 90% off your first order!!!",spam
"FREE iPhone 15! You WON our contest! Click https://bit.ly/winwin to claim NOW!",spam
"URGENT: Your account will be suspended. Verify here: http://secure-banking.tk/login",spam
"Make $5000/week from home! No experience needed! Visit www.easymoney-fast.ru today",spam
"CONGRATULATIONS!!! You are the lucky winner! Send your bank details to claim $1,000,000",spam
"Hot singles in your area want to meet YOU! Click here for instant access!!!",spam
"Cheap viagra cialis no prescription needed! Discount 80%! Order at pharma-deals.cn",spam
"Get rich quick! Bitcoin investment guaranteed 500% return monthly! DM me now",spam
"Your package delivery failed. Reschedule here: http://parcel-track.xyz/8821",spam
"WORK FROM HOME! Earn $300 daily! No skills required! Sign up at jobs-money.tk!!!",spam
"FREE CRYPTO AIRDROP! Connect your wallet to claim 5 ETH: http://eth-claim.app",spam
"Miracle weight loss pill! Lose 20kg in 2 weeks! Buy now at slim-fast-pills.ru",spam
"Click to win iPhone Macbook PS5 every day prizes! Free entry now!",spam
"Купуй зараз! Знижка 80% тільки сьогодні! Натисни на посилання негайно!",spam
"ТЕРМІНОВО! Виграш $10000 чекає на тебе! Введи дані картки тут: http://win.ml",spam
"Sofortgewinn! €5000 Bargeld! Klicken Sie hier: gratis-gewinn.tk",spam
"Gagnez 1000€ maintenant! Cliquez ici pour recevoir votre cadeau gratuit!!!",spam
"WYGRAJ iPhone 15! Kliknij teraz: bit.ly/wygrana - oferta ograniczona!!!",spam
"Free entry to WIN PS5 today click NOW limited slots remaining hurry hurry",spam
"Loan approved! No credit check! Get $50000 today! Apply at quick-loans.tk now!",spam
"Hello dear, I am prince from Nigeria. I need your help to transfer $25M",spam
"INVESTMENT OPPORTUNITY! 1000% ROI guaranteed! Limited spots! Reply YES",spam
"Account hacked! Click immediately to secure: http://verify-acc.ml/login",spam
"BUY 1 GET 5 FREE! Discount code SCAM2024 active for next 5 minutes only!!!",spam
"Special offer just for you! Up to 95% discount but you must order in next 10 min",spam
"You're invited to our exclusive crypto event! 10x returns guaranteed! Book your seat",suspicious
"Hi, I came across your profile. Are you interested in remote opportunities? DM me",suspicious
"Check out this amazing deal on smartwatches, only $20 with free shipping",suspicious
"Looking for influencers to promote our new fashion line. PM if interested",suspicious
"This product changed my life! Highly recommend, link in bio",suspicious
"Join our Telegram channel for daily trading signals! Verified profits inside",suspicious
"Earn passive income with our automated trading bot! Visit our site for details",suspicious
"I made $2000 last week using this method, message me to learn more",suspicious
"Get followers fast with our new growth tool. 10k guaranteed in a week",suspicious
"Цікава пропозиція по заробітку, пиши в особисті повідомлення для деталей",suspicious
"Schauen Sie sich diese erstaunlichen Angebote an, nur heute verfügbar",suspicious
"Découvrez notre formation gratuite pour gagner de l'argent en ligne",suspicious
"Promocja tylko dziś! Sprawdź ofertę na naszej stronie, link w opisie",suspicious
"Quick question, do you want to make extra income on the side? Just need 1 hour daily",suspicious
"Found this amazing supplement that helped me lose 10 pounds in a week, link below",suspicious
"DM for collab opportunities, paying creators $$$ for short reviews",suspicious
"Become part of our exclusive members club for guaranteed market wins",suspicious
"This crypto coin is about to moon! Don't miss out, link in profile",suspicious
"I see you're interested in fitness, I have something that might help, message me",suspicious
"Try our 7-day money-back-guarantee program, no risk involved!",suspicious
"New job openings, work from home, decent pay, send resume to apply",suspicious
"Affiliate marketing course on sale this week only, save 50% off",suspicious
"Recommend everyone to check out this new app, easy to use and rewards points",suspicious
"This stock is going to 10x next month according to insider info, get in early",suspicious
"Hey I noticed we have similar interests, would love to discuss a business idea",suspicious
"Cars for sale, contact for details, prices negotiable depending on model",needs_review
"Selling my old laptop, working condition, message for photos and price",needs_review
"Visit my channel for more content like this, subscribe if you enjoyed it",needs_review
"Bro this song slaps, dropping a link in case anyone wants to vibe",needs_review
"Free workout plan available on my profile, just click the bio link if interested",needs_review
"Anyone here from Brazil? Looking to connect with locals for travel tips",needs_review
"Just published a new article about React hooks, would appreciate any feedback",needs_review
"Quick update: weather looking great this weekend, perfect time for the picnic",needs_review
"Selling concert tickets at face value, can't make it anymore, DM if interested",needs_review
"Has anyone tried this new restaurant downtown? Considering going this Friday",needs_review
"Looking for recommendations on a good budget gaming laptop under $800",needs_review
"My cat won't stop knocking things off the table, send help and treats please",needs_review
"Who else is watching the playoffs tonight? Predictions in the comments below",needs_review
"Just finished reading Project Hail Mary, what should I read next?",needs_review
"Tried a new coffee shop today, atmosphere was nice but the latte was meh",needs_review
"Продаю книги, недорого, цікавить — пиши, можу скинути список",needs_review
"Verkaufe Fahrrad in gutem Zustand, bei Interesse bitte melden",needs_review
"Jaki polecacie tani laptop do nauki programowania? Budżet okolo 3000",needs_review
"Cherche colocataire pour appartement à Lyon, ambiance détendue",needs_review
"Random thought: pineapple on pizza is actually a vibe, fight me",needs_review
"Anyone else's commute getting brutal lately? Need a coffee just to function",needs_review
"Looking for a cheap apartment near downtown, 1 bedroom, message me",needs_review
"Made a new playlist, link in bio if anyone wants to check it out",needs_review
"Shoutout to my friend who started a small bakery, support local!",needs_review
"Anyone going to the Tame Impala concert next month? Looking for plus one",needs_review
"This dataset on Kaggle is fire, working on a side project with it",needs_review
"The new patch broke my favorite character, devs please fix balance asap",not_spam
"Just spent the morning hiking in the Alps, the views were absolutely incredible",not_spam
"Reading 'The Brothers Karamazov' for book club this month, dense but rewarding",not_spam
"Finally finished refactoring our auth service. Down from 800 LOC to 250",not_spam
"Made homemade pasta tonight for the first time, surprisingly easier than expected",not_spam
"My daughter just took her first steps! So proud, growing up too fast",not_spam
"The new season of Severance is incredible, every episode leaves me with questions",not_spam
"Just got back from Tokyo, the public transit system there is unbelievable",not_spam
"Working on improving my running pace, managed a 5k in under 25 minutes today",not_spam
"My team won the regional championship after a tough overtime match yesterday",not_spam
"Finally fixed that nasty memory leak in our caching layer, took three days",not_spam
"Trying out a new espresso method this morning, the crema came out perfect",not_spam
"Saw the most beautiful sunset on my evening walk, nature really shows up sometimes",not_spam
"Got the promotion! Years of hard work finally paying off",not_spam
"Currently on chapter 12 of my novel, the plot is starting to come together nicely",not_spam
"Just adopted a rescue dog from the shelter, meet Charlie, he's already family",not_spam
"My garden is finally producing tomatoes after all the spring rain",not_spam
"Discussing climate policy with my parents over dinner, productive conversation actually",not_spam
"The conference talk on distributed systems was eye-opening, lots to think about",not_spam
"Made it to the top of the mountain after 6 hours, absolutely worth the effort",not_spam
"Сьогодні вранці бігав у парку, погода чудова, настрій теж піднявся",not_spam
"Прочитав нову книгу Ремарка, дуже сильна, рекомендую всім хто любить класику",not_spam
"Завершив проєкт на роботі, тепер можна нормально відпочити на вихідних",not_spam
"Endlich habe ich den Bug im Backend gefunden, war ein klassischer race condition",not_spam
"Heute war ein guter Tag, viel erledigt und trotzdem Zeit für Familie gehabt",not_spam
"J'ai terminé mon projet de fin d'études, soulagement total après six mois",not_spam
"Le nouveau film de Villeneuve est magnifique, à voir absolument au cinéma",not_spam
"Wreszcie skończyłem ten projekt w pracy, dwa miesiące intensywnej pracy za mną",not_spam
"Wczoraj byłem na koncercie Dawida Podsiadło, niesamowite doświadczenie",not_spam
"Just submitted my PR for the new feature, fingers crossed for review",not_spam
"Coffee with a friend after years apart, time really does fly",not_spam
"Watched a great documentary about deep sea creatures, mind blown",not_spam
"My morning routine is getting better since I started waking up earlier",not_spam
"Tried meditation for 10 minutes today, felt unexpectedly calm afterwards",not_spam
"Cooking class was fun, learned how to make proper risotto from scratch",not_spam
"Spent the weekend organizing my home office, productivity should improve",not_spam
"My team shipped the v2 release on time, proud of everyone involved",not_spam
"Started learning Spanish on Duolingo, day 47 streak going strong",not_spam
"The bookstore downtown has the most amazing selection of used books",not_spam
"My nephew just turned five, kids grow up so fast it's wild",not_spam
"Long bike ride along the coast today, legs are tired but heart is full",not_spam
"Trying to eat less sugar, week three and the cravings are finally fading",not_spam
"Just discovered this great podcast on history, recommended by a colleague",not_spam
"Finally beat that boss in Elden Ring after twenty attempts, persistence pays",not_spam
"My houseplants are thriving since I moved them closer to the window",not_spam
"Volunteered at the local soup kitchen this Saturday, humbling experience",not_spam
"Spent the afternoon at the museum looking at impressionist paintings",not_spam
"Movie night with friends, we watched The Grand Budapest Hotel for the third time",not_spam
"Started journaling again after years, helps me process my thoughts better",not_spam
"My code review caught three subtle bugs today, glad we have this process",not_spam
"The autumn leaves in the park are absolutely stunning right now",not_spam
"Took my mom out for her birthday lunch, she had a wonderful time",not_spam
"Working on a side project building a small CLI tool in Rust, learning a lot",not_spam
"Just finished a 10k charity run, sore but satisfied with the time",not_spam
"My kid drew the cutest picture of our family, it's going on the fridge",not_spam
"Productive day at work, closed three tickets and helped onboard a new dev",not_spam
"The new bakery on the corner makes incredible sourdough, highly recommend",not_spam
"Caught up with my college roommate over video call, miss those days",not_spam
"Spent a quiet evening at home reading, sometimes that's exactly what you need",not_spam
"My grandma taught me her secret pierogi recipe today, family treasure unlocked",not_spam
